l_english:
 DIPLO_NO_FIGHTING:0 "No ongoing fighting:0 "
 DIPLO_OCCUPYING_WARLEADER:0 "Fully occupying enemy war leader:0 "
 DIPLO_WAR_EXHAUSTION:0 "$WHO$ War Exhaustion:0 "
 DIPLO_CALL_FOR_PEACE:0 "Call for Peace:0 "
 DIPLO_WAR_DIRECTION:0 "$WHO$ is making gains:0 "
 DIPLO_WAR_FORCE_BALANCE:0 "Relative strength of alliances:0 " 
 DIPLO_WAR_COALITION_BALANCE:0 "Relative strength of coalition:0 "
 DIPLO_CONTROLLING_DESIRED_PROVINCES:0 "Controlling desired provinces in $WHO$'s territory:0 "
 DIPLO_DESIRE_YOUR_PROVINCES:0 "Desires provinces in $WHO$'s territory:0 "
 DIPLO_DESIRED_PROVINCES:0 "Offers desired provinces:0 "
 DIPLO_UNDESIRED_PROVINCES:0 "Offers undesired provinces:0 "
 DIPLO_HOLD_CAPITAL:0 "$WHO$ holds $CAPITAL$:0 "
 DIPLO_HOLD_WARGOAL:0 "$WHO$ holds wargoal:0 "
 DIPLO_WANT_INDEPENDENCE:0 "$WHO$ wants independence:0 "
 DIPLO_WAR_CAPACITY:0 "$WHO$'s war capacity:0 "
 DIPLO_IS_NOMADS:0 "Is nomad:0 "
 DIPLO_BADNESS:0 "Badness:0 "
 DIPLO_WEARINESS:0 "Weariness:0 "
 DIPLO_NO_THREAT:0 "They are no threat:0 "
 DIPLO_IS_NOT_OCCUPYING:0 "Is not occupying $WHO$:0 "
 DIPLO_OWNS_CORE_PROVINES:0 "$WHO$ owns $ADJ$ core provinces:0 "
 DIPLO_WAR_SCORE_AND_CAPACITY_BIGGER:0 "Warscore and capacity bigger than $VAL$:0 "
 DIPLO_WAR_SCORE_AND_CAPACITY_LESSER:0 "Warscore and capacity less than $VAL$:0 "
 DIPLO_WAR_CAPACITY_TOO_LOW:0 "$WHO$'s war capacity is pitiful:0 "
 DIPLO_WAR_CAPACITY_TOO_HIGH:0 "$WHO$'s war capacity is terrific:0 "
 DIPLO_OFFERS_WARSCORE:0 "Offer compare to warscore:0 "
 DIPLO_WAR_DURATION:0 "War duration:0 "
 DIPLO_DESPERATE:0 "$WHO$ is desperate for peace:0 "
 DIPLO_PEACE_ABOVE_WAR_SCORE:0 "Peace offer bigger than warscore:0 "
 DIPLO_PEACE_SCORE_UNDER:0 "Peace offer smaller than $SCORE$:0 "
 DIPLO_PEACE_SCORE_OVER:0 "Peace offer larger than $SCORE$:0 "
 DIPLO_NO_UNION_AND_VASSAL:0 "Won't be in union and a vassal:0 "
 DIPLO_NEED_MORE_PROVINCES:0 "$WHO$ needs more provinces ($VAL$):0 "
 DIPLO_NEED_MORE_MILITARY:0 "$WHO$ needs a stronger army ($VAL$):0 "
 DIPLO_NEED_MORE_IN_INCOME:0 "$WHO$ needs a larger monthly income ($VAL$):0 "
 DIPLO_SUPERIORITY_IN_PROV_MIL_INC:0 "Superiority in provinces, military and economy:0 "
 DIPLO_IS_DEPENDENT_ON:0 "Is dependent on $WHO$:0 "
 DIPLO_NUM_OF_PROVINCES:0 "Number of provinces:0 " 
 DIPLO_HAS_NO_PROVINCES:0 "Has no provinces:0 " 
 DIPLO_BASE_TAX:0 "$WHO$ economic base compared to $OTHER$:0 "
 DIPLO_MORE_BASE_TAX_THAN:0 "$WHO$ has more than $VAL$ total development:0 " 
 DIPLO_LESS_BASE_TAX_THAN:0 "$WHO$ has less than $VAL$ total development:0 " 
 DIPLO_MILITARY_POWER:0 "$WHO$ military power compared to $OTHER$:0 "
 DIPLO_HAS_MORE_PROVINCES_THAN:0 "$WHO$ has more than $VAL$ provinces:0 " 
 DIPLO_WAR_ON_OVERLORD:0 "The war is on the overlord of $WHO$:0 "
 DIPLO_NO_ENEMIES:0 "No valid enemy:0 " 
 DIPLO_IS_CONSOLIDATING:0 "Have plans on their own:0 "
 DIPLO_HAS_TRUCE_WITH:0 "$WHO1$ has a truce with $WHO2$:0 "
 DIPLO_FEAR_OF_BEING_ANNEXED:0 "Is being annexed:0 "
 DIPLO_SELL_PROVINCE_FREE_CITY:0 "Would lose §YFree City§! status:0 "
 DIPLO_SELL_PROVINCE_TRADE_LEAGUE:0 "Would have to leave a §YTrade League§!:0 "
 DIPLO_WANT_WAR:0 "Attitude towards enemies:0 "
 DIPLO_OVERLORDS_ATTITUDE:0 "Overlord's $ATTITUDE$ attitude towards $COUNTRY$:0 "
 DIPLO_TO_LOW_WAR_CAPACITY:0 "$WHO$ have too low war capacity."
 DIPLO_OVERLORD:0 "$WHO$ are the overlord:0 " 
 DIPLO_WAR_NOT_ACTIVE:0 "The war is not active:0 " 
 DIPLO_ONLY_CALL_PRIMITIVES:0 "Can only call primitives against independent countries:0 "
 DIPLO_CURRENT_WARSCORE:0 "Current warscore:0 " 
 DIPLO_WARSCORE_LESSER_THAN:0 "Warscore less than $VAL$:0 " 
 DIPLO_WARSCORE_LARGER_THAN:0 "Warscore larger than $VAL$:0 " 
 DIPLO_WAREXHAUSTION:0 "War exhaustion:0 "
 DIPLO_WAREXHAUSTION_LARGER_THAN:0 "War exhaustion larger than $VAL$:0 " 
 DIPLO_PART_OF_EMPIRE:0 "$PART$ is part of the empire and $EMPEROR$ is the emperor:0 " 
 DIPLO_NOT_WANT_BIG_SHIP:0 "$WHO$ has no use for Big Ships:0 "
 DIPLO_NOT_WANT_GALLEY:0 "$WHO$ has no use for Galleys:0 "
 DIPLO_TOO_MANY_BIG_SHIP:0 "$WHO$ wants §R$NUM$§! fewer Big Ships:0 "
 DIPLO_TOO_MANY_LIGHT_SHIP:0 "$WHO$ wants §R$NUM$§! fewer Light Ships:0 "
 DIPLO_TOO_MANY_GALLEY:0 "$WHO$ wants §R$NUM$§! fewer Galleys:0 "
 DIPLO_TOO_MANY_TRANSPORT:0 "$WHO$ wants §R$NUM$§! fewer Transports:0 "
 DIPLO_MORE_THAN:0 "more than "
 DIPLO_ALLYS_FOR_YEARS:0 "$ALLY1$ has been an ally with $ALLY2$ for $YEARS$ years:0 "
 DIPLO_NOT_BEEN_ALLYS_FOR_YEARS:0 "$ALLY1$ has not been an ally with $ALLY2$ for $YEARS$ years:0 "
 DIPLO_DEFENSIVE_BAD_WARSCORE:0 "It's a defensive war and your warscore is less than $VAL$:0 " 
 DIPLO_DIPLOMATIC_REP:0 "$WHO$ diplomatic reputation:0 "
 DIPLO_FED_DIPLOMATIC_REP:0 "Total diplomatic reputation in $WHO$:0 "
 DIPLO_DIPLOMATIC_SKILL:0 "$WHO$ diplomatic skill:0 "
 DIPLO_DIPLOMATIC_SKILL_MODIFIERS:0 "$WHO$ diplomatic skill modifiers:0 "
 DIPLO_DIPLOMATIC_SKILL_DIFF:0 "$WHO$ and $WHO2$ diplomatic skill difference:0 "
 DIPLO_DIPLOMATIC_SKILL_MODIFIERS_DIFF:0 "$WHO$ and $WHO2$ diplomatic skill modifiers difference:0 " 
 DIPLO_NUMBER_OF_ALLIES:0 "Number of allies for $WHO$:0 "
 DIPLO_NUMBER_OF_GREAT_POWER_ALLIES:0 "Number of Great Power allies for $WHO$:0 "
 DIPLO_NUMBER_OF_POWERFUL_ALLIES:0 "$WHO$ already has a powerful ally in $ALLY$:0 "
 DIPLO_THREATENED_BY_RIVAL:0 "$WHO$ is threatened by $RIVAL$:0 "
 DIPLO_RIVAL_ALLIES:0 "$WHO$ is allied to $ADJ$ rival $RIVAL$:0 "
 DIPLO_HISTORICAL_RIVAL:0 "Historical Rival:0 "
 DIPLO_HISTORICAL_NEUTRAL:0 "Historical Neutral:0 "
 DIPLO_SIZE_OF_WAR:0 "Size of war:0 "
 DIPLO_ROYAL_MARRIAGE_BETWEEN:0 "Royal marriage between $WHO1$ and $WHO2$:0 "
 DIPLO_CANNOT_MARRY:0 "$WHO$ cannot enter into a Royal Marriage:0 "
 DIPLO_WHO_TRUST:0 "$WHO1$ trusts $WHO2$:0 "
 DIPLO_TRUST:0 "Trust:0 "
 DIPLO_DISTRUST:0 "Distrust:0 "
 DIPLO_THREAT:0 "Threat:0 "
 DIPLO_RIVALS:0 "Rival bonus:0 "
 DIPLO_COMMON_RIVALS:0 "Common Rivals:0 "
 DIPLO_NUM_OF_RIVALS:0 "Number of rivals:0 "
 DIPLO_GAVE_WAR_ACCESS_TO_ENEMY:0 "Gave military access to enemies:0 "
 DIPLO_WAR_WITH_RIVAL:0 "At war with rival:0 "
 DIPLO_WAR_WITH_OVERLORDS_RIVAL:0 "At war with rival of overlord:0 "
 DIPLO_WAR_WITH_ALLY:0 "At war with ally:0 "
 DIPLO_WAR_WITH_NEIGHBOUR_RIVAL:0 "At war with neighboring rival:0 "
 DIPLO_WAR_WITH_NEIGHBOUR_OVERLORDS_RIVAL:0 "At war with neighboring rival of overlord:0 "
 DIPLO_WAR_WITH_NEIGHBOUR_ALLY:0 "At war with neighboring ally:0 "
 DIPLO_SAME_CULTURE_GROUP:0 "Same culture group:0 "
 DIPLO_SAME_RELIGION_GROUP:0 "Same religious group:0 "
 DIPLO_NOT_SAME_CULTURE_GROUP:0 "Not the same culture group:0 "
 DIPLO_NOT_SAME_RELIGION_GROUP:0 "Not the same religious group:0 "
 DIPLO_SAME_RELIGION:0 "Both countries are $NAME$:0 "
 DIPLO_SAME_CULTURE:0 "Same culture:0 "
 DIPLO_NOT_SAME_RELIGION:0 "Not same religion:0 "
 DIPLO_NOT_SAME_CULTURE:0 "Not same culture:0 "
 DIPLO_NOT_ACCEPTED_CULTURE:0 "$WHO$ does not accept $CULTURE$ culture:0 "
 DIPLO_SUPERIOR_SIZE:0 "$WHO$ is superior in land and army size:0 "
 DIPLO_SUPERIOR_ARMY_SIZE:0 "$WHO$ is superior in army size:0 "
 DIPLO_RELATIVE_POWER_ALLIANCE:0 "Power of $WHO$ alliance compared to $US$:0 "
 DIPLO_RECENTLY_FORCED_TO_RETURN_TERRITORY:0 "$WHO$ recently forced $US$ to return territory:0 "
 DIPLO_MANPOWER:0 "$WHO$ Manpower:0 "
 DIPLO_LOW_MANPOWER:0 "$WHO$ has low Manpower:0 "
 DIPLO_LOANS:0 "$WHO$ is $GOLD|0$¤ in debt:0 "
 DIPLO_TRADE_POWER_ASKED_FOR:0 "Amount of Trade power asked for:0 "
 DIPLO_ARMY_SIZE:0 "$WHO$ Army Strength:0 "
 DIPLO_NAVY_SIZE:0 "$WHO$ Navy Strength:0 "
 DIPLO_FELLOW_VASSAL:0 "$COUNTRY01$ is a fellow subject of $COUNTRY02$:0 " 
 DIPLO_HALF_LAND_SIZE:0 "$COUNTRY01$ has half the amount of provinces compared to $COUNTRY02$:0 "
 DIPLO_LESSER_IN_VASSAL:0 "$WHO$ is a vassal:0 "
 DIPLO_BETRAYED_ALLY:0 "$WHO$ recently broke a promise to give land:0 "
 DIPLO_NOT_WANT_PROVINCES_NOT_ENOUGH_FAVORS:0 "Not enough favors and does not want any land:0 "
 DIPLO_NOT_WANT_PROVINCES:0 "Does not want any $WHO$ land that $CALLER$ hasn't claimed:0 "
 DIPLO_WANTS_PROVINCES:0 "Promised $WHO$ land:0 "
 DIPLO_PREPARED_FOR_WAR:0 "Prepared for War:0 "
 DIPLO_PLAYER_AI_PREFS_KEEP_ALLY:0 "$WHO$ §GKeep Alliances§! AI setting is §Genabled§!:0 "
 DIPLO_UNION_WAR_GREAT_POWER:0 "$WHO$ does not want $TARGET$ in a union under $THEM$:0 "
 DIPLO_PLAYER_AI_PREFS_FIGHT_TO_DEATH:0 "$WHO$ §GSeek Fast Peace§! AI setting is §Genabled§!:0 "
 DIPLO_VASSAL_UNDER:0 "$VASSAL$ is a vassal under $LEADER$:0 "
 DIPLO_UNION_UNDER:0 "$UNDER$ is in a personal union under $LEADER$:0 "
 DIPLO_IN_OUR_UNION:0 "$WHO$ is in our union:0 "
 DIPLO_SUPPORTING_INDEPENDENCE:0 "$COUNTRY01$ is supporting $COUNTRY02_ADJ$ independence:0 "
 DIPLO_OPINION:0 "$COUNTRY01$ opinion about $COUNTRY02$:0 "
 DIPLO_FED_OPINION:0 "$COUNTRY01$ total opinion about $COUNTRY02$:0 "
 DIPLO_OPINION_LESSER_THAN:0 "$COUNTRY01$ opinion about $COUNTRY02$ is less than $VAL|Y$:0 "
 DIPLO_OPINION_LARGER_THAN:0 "$COUNTRY01$ opinion about $COUNTRY02$ is larger than $VAL|Y$:0 "
 DIPLO_CANT_AFFORD:0 "$WHO$ can't afford another diplomatic relation:0 "
 DIPLO_FRIENDLINESS:0 "Desire for Friendship:0 "
 DIPLO_ANTAGONISM:0 "Antagonism:0 "
 DIPLO_MORE_OWNED_PROVINCES:0 "$WHO$ is larger:0 "
 DIPLO_AT_WAR_OFFENSIVE:0 "$WHO$ is in an offensive war:0 "
 DIPLO_AT_WAR:0 "$WHO$ is at war:0 "
 DIPLO_IN_IMPORTANT_WAR:0 "$WHO$ is in an important war:0 "
 DIPLO_AT_WAR_AGAINST:0 "$WHO$ is at war against $AGAINST$:0 "
 DIPLO_NOT_VALID_FOR_SUPPORT_INDEPENDENCE:0 "Not a valid target for Support Independence:0 "
 DIPLO_DIPLOMATIC_DISTANCE:0 "Distance between capitals:0 "
 DIPLO_ORIGINAL_ENEMY_NOT_BEATEN:0 "$COUNTRY$ not fully occupied:0 "
 DIPLO_BORDER_DISTANCE:0 "Distance between borders:0 "
 DIPLO_PROTECTORATES:0 "Number of protectorates:0 "
 DIPLO_OTHER_PROTECTORATE:0 "$WHO$ is a protectorate in the same trade node:0 "
 DIPLO_FED_BORDER_DISTANCE:0 "Average distance to $FEDNAME$:0 "
 DIPLO_CANNOT_REACH:0 "$WHO$ cannot reach $TARGET$:0 "
 DIPLO_ROYAL_MARRIAGES_FOR:0 "Number of royal marriages for $WHO$:0 "
 DIPLO_LIBERTY_DESIRE_BELOW:0 "$WHO$'s Liberty Desire is less than $VAL$:0 "
 DIPLO_LIBERTY_DESIRE_ABOVE:0 "$WHO$'s Liberty Desire is more than $VAL$:0 "
 DIPLO_STABHIT_FROM_NO_CB:0 "No Casus Belli:0 "
 DIPLO_MSG_FILTER_NEIGHBOURS:0 "Neighbors:0 "
 DIPLO_IS_EMPEROR:0 "$WHO$ is the Holy Roman Emperor:0 "
 DIPLO_IS_EMPEROR_ALLY:0 "$WHO$ is allied to the Holy Roman Emperor:0 "
 DIPLO_INVALID_TARGET:0 "Invalid target:0 "
 DIPLO_SAME_CONTINENT:0 "Has province on same continent:0 "
 DIPLO_TOO_LARGE_FREE_CITY:0 "$WHO$ is too large to become a free city:0 "
 DIPLO_HAS_SUBJECTS:0 "$WHO$ has subjects of its own:0 "
 DIPLO_IS_LESSERVASSAL_OR_UNION:0 "Is vassal or union member:0 "
 DIPLO_IS_STRONGER:0 "We are much stronger:0 "
 DIPLO_IS_SUBJECT:0 "$WHO$ is a subject:0 "
 DIPLO_IS_THREAT:0 "They view us as a Threat:0 "
 DIPLO_MAY_REPLACE_WAR:0 "May replace $WHO$ as the leader of the war:0 "
 DIPLO_WE_HAVE_ROYAL_MARRIAGE:0 "We have a royal marriage:0 "
 DIPLO_GOVERNMENT:0 "$COUNTRY$ is a $GOVERNMENT$:0 "
 DIPLO_CHANCE_LESSER_THAN:0 "Reasons less than $VAL|Y$:0 " 
 DIPLO_CHANCE_LARGER_THAN:0 "Reasons larger than $VAL|Y$:0 " 
 DIPLO_PEACE_ACCEPTABLE:0 "Peace acceptable:0 "
 DIPLO_ENFORCE_PEACE_WILLINGNESS:0 "Desire for peace:0 "
 DIPLO_ENFORCE_PEACE_FEAR:0 "Fear of $WHO$:0 "
 DIPLO_MAY_NOT_DECLARE_WAR:0 "May not declare war against $WHO$:0 "
 DIPLO_IS_DOF:0 "$WHO$ is Defender of the faith ($RELIGION$):0 "
 DIPLO_PRESTIGE:0 "Prestige:0 "
 DIPLO_OVER_FORCE_LIMIT:0 "Buying the fleet would exceed force limit:0 "
 DIPLO_OVEREXTENDED:0 "$WHO$ is overextended:0 "
 DIPLO_PROVINCE_PRICE:0 "Price:0 "
 DIPLO_PROVINCE_CORE:0 "$PROV$ is a core of $WHO$:0 "
 DIPLO_PROVINCE_CLAIM:0 "$PROV$ is a $WHO$ claim:0 "
 DIPLO_PROVINCE_NO_STRATEGIC_INTEREST:0 "$PROV$ is not a core, a claim, or a previously owned province of $WHO$:0 "
 DIPLO_PROVINCE_SAME_RELIGION:0 "$PROV$ and $WHO$ has $RELIGION$:0 "
 DIPLO_NOT_NEIGHBOURS:0 "Are not neighbors:0 "
 DIPLO_SELLPROV_NEIGHBOUR_AND_PRICE:0 "$PROV$ is neighbor to $WHO$ and the price is $VAL$:0 "
 DIPLO_SELLPROV_NOPORT_NOCORE:0 "$PROV$ cannot be made into a core of $WHO$:0 "
 DIPLO_PROVINCE_ISCORE_OFNUM:0 "$PROV$ is the core of $NUM$ countries:0 "
 DIPLO_UNOCCUPIED:0 "$WHO1$ is not occupied by $WHO2$:0 "
 DIPLO_CONQUER_VALUE:0 "Conquer value:0 "
 DIPLO_TREASURY:0 "$WHO$ treasury:0 "
 DIPLO_DIPLOMATIC_REPUTATION:0 "Diplomatic reputation:0 "
 DIPLO_SELLPROV_ABOVE_TREASURY:0 "Price is above $WHO$ treasury:0 "
 DIPLO_INVALID_LOAN:0 "Loan is invalid:0 "
 DIPLO_LOAN_INTEREST_ABOVE:0 "Loan interest is above $VAL|Y%$:0 "
 DIPLO_LOAN_TOO_MANY:0 "$WHO$ has too many loans:0 "
 DIPLO_LOAN_CANT_AFFORD_INTEREST:0 "$WHO$ can't afford the interest $INTEREST|Y%$:0 "
 DIPLO_LOAN_NOT_NEED_LOAN:0 "$WHO$ is not in need of any loan:0 "
 DIPLO_LOAN_EARNS_ENOUGH:0 "$WHO$ earns too much:0 "
 DIPLO_LOAN_EXPIRY_SOON:0 "Expiry date is too soon:0 "
 DIPLO_LOAN_COST_SOON:0 "Loan will cost too much, too soon:0 "
 DIPLO_TOO_MANY_RELATIONS:0 "$WHO$ have too many diplomatic relations:0 "
 DIPLO_BASE:0 "Base:0 "
 DIPLO_DIP_POWER_COST_ABOVE:0 "$WHO$ has a Diplomatic Power cost above $VAL|Y$:0 "
 DIPLO_NO_ALLIANCE_NO_GUARANTEE:0 "$COUNTRY01$ is not allied with or guaranteering $COUNTRY02$:0 "
 DIPLO_ALLIANCE:0 "$COUNTRY01$ is allied with $COUNTRY02$:0 "
 DIPLO_TOO_SMALL:0 "Not enough provinces:0 "
 DIPLO_RELATIVE_WORTH_OF_PROV:0 "Relative worth of province:0 "
 DIPLO_RECENTLY_THREATENED:0 "Recently gave in to threat:0 "
 DIPLO_NOT_OUR_CORE:0 "Province is not a $ADJ$ core:0 "
 DIPLO_BASE_VALUE:0 "Base value:0 "
 DIPLO_INTERESTS_IN_REGION:0 "$ADJ$ interests in region:0 "
 DIPLO_RIVALS_INTERESTS_IN_REGION:0 "Rivals' interests in region:0 "
 DIPLO_IS_COLONIZER:0 "$WHO$ is a colonizer:0 "
 DIPLO_NO_TRADE_LEAGUE_LEAD:0 "$WHO$ could have led the league:0 "
 DIPLO_TRADE_LEAGUE_MORE:0 "Another member of their league:0 "
 DIPLO_TRADE_LEAGUE_SIZE:0 "Size of Trade League ($NUM$):0 "
 DIPLO_WOULD_DISMISS:0 "Would dismiss troops:0 "
 DIPLO_FREE_TROOPS:0 "Free troops:0 "
 DIPLO_TROOP_QUALITY:0 "Quality of troops:0 "
 DIPLO_TROOP_QUANTITY:0 "Quantity of troops:0 "
 DIPLO_TOO_EXPENSIVE:0 "Too expensive:0 "
 DIPLO_NOT_AT_WAR:0 "Not at war:0 "
 DIPLO_NOT_IN_IMPORTANT_WAR:0 "Not in important war:0 "
 DIPLO_CANT_PAY_UPFRONT:0 "Can't afford upfront cost:0 "
 DIPLO_BUDGET_SURPLUS:0 "Budget surplus of $GOLD|1$¤:0 "
